layer,x,z
0,0.0,0.0
0,163.05,0.0
0,203.09,0.0
0,299.0,0.0
1,0.0,3.52
1,2.92,3.52
1,5.84,3.43
1,8.34,3.26
1,11.26,3.0
1,14.8,2.75
1,18.35,2.58
1,22.52,2.4
1,27.11,2.32
1,30.65,2.23
1,33.99,2.15
1,37.74,1.97
1,40.66,1.8
1,43.16,1.8
1,51.71,1.89
1,59.84,1.89
1,68.18,1.8
1,76.11,1.72
1,83.61,1.46
1,93.2,1.2
1,98.83,1.03
1,104.67,1.03
1,110.3,0.94
1,114.05,1.03
1,118.64,1.29
1,123.65,1.37
1,129.27,1.55
1,133.24,1.63
1,138.03,1.72
1,141.16,1.63
1,145.12,1.37
1,150.75,1.03
1,154.92,0.77
1,158.67,0.43
1,160.55,0.34
1,163.05,0.0
1,203.09,0.0
1,206.01,0.26
1,208.09,0.34
1,210.8,0.77
1,213.3,1.12
1,215.39,1.37
1,217.26,1.55
1,219.14,1.63
1,222.06,1.72
1,225.4,1.63
1,228.94,1.46
1,235.82,1.46
1,249.58,1.37
1,264.39,1.29
1,280.23,1.29
1,299.0,1.2
2,0.0,5.41
2,6.46,5.24
2,10.01,5.15
2,13.55,5.15
2,19.18,4.81
2,28.98,4.46
2,42.33,3.95
2,48.58,3.69
2,56.51,3.61
2,65.05,3.43
2,69.02,3.35
2,75.9,3.09
2,80.9,2.92
2,88.41,2.66
2,93.62,2.4
2,97.58,2.32
2,101.54,2.06
2,104.46,2.15
2,110.72,2.15
2,113.85,2.32
2,118.02,2.75
2,121.35,2.92
2,126.98,3.18
2,131.99,3.35
2,138.66,3.43
2,161.38,3.43
2,166.18,3.43
2,169.1,3.18
2,171.81,3.09
2,174.94,3.0
2,177.02,3.0
2,178.48,2.75
2,182.03,2.66
2,188.28,2.58
2,197.25,2.4
2,207.05,2.4
2,211.01,2.58
2,213.09,2.66
2,216.01,3.0
2,217.06,3.35
2,218.1,3.52
2,219.56,3.69
2,224.77,3.61
2,228.52,3.43
2,230.82,3.35
2,235.2,3.0
2,238.32,3.0
2,246.87,3.0
2,248.75,3.26
2,250.0,3.61
2,251.46,3.95
2,252.71,4.21
2,254.38,4.46
2,257.51,4.72
